Name,Company,ID,pigment1,pigment2,pigment3,pigment4,Transparency,Granulating,Staining,Lightfastness,(Pigments),(count-pigments)
deep sea indigo,Schmincke,952,PV62,PG18,,,semi-transparent,SG,,,/PV62/PG18/,2
deep sea blue,Schmincke,953,PG50,PV16,PB29,,semi-transparent,SG,,,/PG50/PV16/PB29/,3
deep sea green,Schmincke,954,PG18,PB29,,,semi-transparent,SG,,,/PG18/PB29/,2
deep sea black,Schmincke,955,PBk11,PB74,PB35,,semi-opaque,SG,,,/PBk11/PB74/PB35/,3
glacier blue,Schmincke,961,PB29,PG50,,,semi-transparent,SG,,,/PB29/PG50/,2
glacier turquoise,Schmincke,962,PG50,PV16,,,semi-opaque,SG,,,/PG50/PV16/,2
glacier green,Schmincke,963,PR233,PG50,,,semi-opaque,SG,,,/PR233/PG50/,2
glacier brown,Schmincke,964,PBr6,PG26,,,opaque,SG,,,/PBr6/PG26/,2
glacier black,Schmincke,965,PBk11,PB35,,,semi-opaque,SG,,,/PBk11/PB35/,2
shire yellow,Schmincke,931,PY159,PV62,,,transparent,SG,,,/PY159/PV62/,2
shire olive,Schmincke,932,PY159,PB35,,,semi-transparent,SG,,,/PY159/PB35/,2
shire green,Schmincke,933,PY159,PG18,,,transparent,SG,,,/PY159/PG18/,2
shire blue,Schmincke,934,PY159,PB29,PG26,,opaque,SG,,,/PY159/PB29/PG26/,3
shire grey,Schmincke,935,PY159,PB74,PBk11,,semi-opaque,SG,,,/PY159/PB74/PBk11/,3
forest olive,Schmincke,941,PG18,PBR7,PY43,,semi-transparent,SG,,,/PG18/PBR7/PY43/,3
forest green,Schmincke,942,PG19,PBr33,,,opaque,SG,,,/PG19/PBr33/,2
forest blue,Schmincke,943,PB36,PBk11,,,semi-opaque,SG,,,/PB36/PBk11/,2
forest brown,Schmincke,944,PG26,PBr7,PY43,,semi-transparent,SG,,,/PG26/PBr7/PY43/,3
forest grey,Schmincke,945,PBr7,PG50,PBk11,,semi-opaque,SG,,,/PBr7/PG50/PBk11/,3,,
